City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,kupang,-10.1667,123.5833,27.32,89,20,1.03,ID,1702843692
202,bom jesus da lapa,-13.255,-43.4181,37.51,17,53,5.07,BR,1702843693
203,revda,56.801,59.9303,-12.53,90,89,4.03,RU,1702843639
204,troitsko-pechorsk,62.7084,56.1964,-14.06,92,100,4.17,RU,1702843694
205,halvad,23.0167,71.1833,19.74,46,6,4.08,IN,1702843694
206,berezovyy,51.6667,135.7,-19.44,94,100,1.68,RU,1702843694
207,al ghayzah,16.2079,52.176,21.8,44,0,4.5,YE,1702843695
208,antigonish,45.6169,-61.9986,3.23,79,100,6.22,CA,1702843695
209,awjilah,29.1081,21.2869,15.28,52,0,3.1,LY,1702843696
210,alaminos,14.0639,121.2465,24.05,90,97,2.83,PH,1702843627
211,brookhaven,31.5791,-90.4407,14.58,46,0,4.69,US,1702843696
212,savanna-la-mar,18.219,-78.1332,29.4,73,25,3.94,JM,1702843697
213,cabo san lucas,22.8909,-109.9124,31.61,67,20,1.54,MX,1702843697
214,shuangjiang,26.1547,109.7138,-0.58,84,100,2.32,CN,1702843697
215,lycksele,64.5954,18.6735,0.93,80,74,3.6,SE,1702843698
216,gadzhiyevo,69.2551,33.3362,-7.14,96,90,5.61,RU,1702843595
217,kyabram,-36.3167,145.05,18.81,32,100,3.51,AU,1702843699
218,ipueiras,-7.0333,-40.45,30.71,34,100,1.3,BR,1702843605
219,enewetak,11.3474,162.3373,27.18,81,100,10.99,MH,1702843699
220,kayyerkan,69.3786,87.7439,-15.86,73,100,6.39,RU,1702843520
221,staryye ozinki,51.1786,49.6769,-8.87,94,71,6.79,RU,1702843700
222,balabac,7.9868,117.0645,27.88,77,49,7.77,PH,1702843700
223,queenstown,-31.8976,26.8753,18.5,87,0,2.42,ZA,1702843701
224,masterton,-40.9597,175.6575,15.49,75,30,2.26,NZ,1702843701
225,qusmuryn,52.4503,64.6311,-6.67,95,100,4.46,KZ,1702843701
226,puerto lempira,15.2667,-83.7667,27.08,78,75,9.26,HN,1702843702
227,sinabang,2.4803,96.3801,27.27,81,100,4.15,ID,1702843702
228,jayapura,-2.5333,140.7,25.66,92,100,1.71,ID,1702843703
229,vila franca do campo,37.7167,-25.4333,18.27,99,100,3.32,PT,1702843703
230,irbit,57.6705,63.071,-14.64,94,34,3.52,RU,1702843703
231,bafoulabe,13.8065,-10.8321,26.08,13,100,1.95,ML,1702843704
232,la passe,45.5549,-0.8967,2.13,78,0,1.91,FR,1702843704
233,trondheim,63.4305,10.3951,3.05,93,100,1.59,NO,1702843704
234,kodiak,57.79,-152.4072,-0.27,74,0,2.06,US,1702843705
